Probe,Prompt,Layer,Coeff,FPR_Rate,Steer_Rate
MM_L17_P0_dPrim20.72_dVal1.37.pt,Evaluation,17,-8.0,0.00,0.00
MM_L17_P0_dPrim20.72_dVal1.37.pt,Evaluation,17,-5.0,0.00,5.00
MM_L17_P0_dPrim20.72_dVal1.37.pt,Evaluation,17,-2.0,0.00,0.00
MM_L17_P0_dPrim20.72_dVal1.37.pt,Evaluation,17,0.0,0.00,0.00
MM_L17_P0_dPrim20.72_dVal1.37.pt,Evaluation,17,2.0,0.00,0.00
MM_L17_P0_dPrim20.72_dVal1.37.pt,Evaluation,17,5.0,0.00,0.00
MM_L17_P0_dPrim20.72_dVal1.37.pt,Evaluation,17,8.0,0.00,0.00
MM_L17_P0_dPrim20.72_dVal1.37.pt,Anthropic,17,-8.0,0.00,5.00
MM_L17_P0_dPrim20.72_dVal1.37.pt,Anthropic,17,-5.0,0.00,5.00
MM_L17_P0_dPrim20.72_dVal1.37.pt,Anthropic,17,-2.0,0.00,5.00
MM_L17_P0_dPrim20.72_dVal1.37.pt,Anthropic,17,0.0,0.00,0.00
MM_L17_P0_dPrim20.72_dVal1.37.pt,Anthropic,17,2.0,100.00,0.00
MM_L17_P0_dPrim20.72_dVal1.37.pt,Anthropic,17,5.0,100.00,5.00
MM_L17_P0_dPrim20.72_dVal1.37.pt,Anthropic,17,8.0,100.00,0.00
MM_L17_P0_dPrim20.72_dVal1.37.pt,Unified,17,-8.0,0.00,0.00
MM_L17_P0_dPrim20.72_dVal1.37.pt,Unified,17,-5.0,0.00,0.00
MM_L17_P0_dPrim20.72_dVal1.37.pt,Unified,17,-2.0,100.00,0.00
MM_L17_P0_dPrim20.72_dVal1.37.pt,Unified,17,0.0,100.00,0.00
MM_L17_P0_dPrim20.72_dVal1.37.pt,Unified,17,2.0,100.00,0.00
MM_L17_P0_dPrim20.72_dVal1.37.pt,Unified,17,5.0,0.00,0.00
MM_L17_P0_dPrim20.72_dVal1.37.pt,Unified,17,8.0,100.00,0.00
